,,,,,,
,IEEE Transactions on Visualization and Computer Graphics,,,,,
,Computer Graphics Forum,,,,,
,Computers & Graphics,,,,,
,The Visual Computer,,,,,
,IEEE Computer Graphics and Applications,,,,,
,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,,,,,
,IEEE Pacific Visualization Symposium,,,,,
,Computer Aided Geometric Design,,,,,
,Graphical Models,,,,,
,ACM Symposium on Virtual Reality Software and Technology,,,,,
,IEEE Symposium on Visual Analytics Science and Technology,,,,,
,Graphics Interface Conference,,,,,
,Symposium on Interactive 3D Graphics (SI3D),,,,,
,Computer Animation and Virtual Worlds,,,,,
,International Conference on 3D Web Technology,,,,,
,IEEE Symposium on Large Data Analysis and Visualization,,,,,
,Visualization and Data Analysis,,,,,
,"Vision, Modeling & Visualization",,,,,
,International Conference on Computer Graphics Theory and Applications (GRAPP),,,,,
5. Computer Networks & Wireless Communication,IEEE Communications Surveys & Tutorials,,,,,
,IEEE Communications Magazine,,,,,
,IEEE Transactions on Wireless Communications,,,,,
,IEEE Journal on Selected Areas in Communications,,,,,
,IEEE Transactions on Communications,,,,,
,IEEE Transactions on Vehicular Technology,,,,,
,IEEE International Conference on Computer Communications (INFOCOM),,,,,
,IEEE Wireless Communications,,,,,
,ACM SIGCOMM Conference,,,,,
,IEEE Transactions on Mobile Computing,,,,,
,IEEE/ACM Transactions on Networking (TON),,,,,
,Journal of Network and Computer Applications,,,,,
,Computer networks,,,,,
,IEEE Communications Letters,,,,,
,IEEE Networks,,,,,
,IEEE International Conference on Communications,,,,,
,Ad Hoc Networks,,,,,
,IEEE GLOBECOM,,,,,
,Annual International Conference on Mobile Computing and Networking,,,,,
,Computer Communications,,,,,
6. Computer Security & Cryptography,ACM Symposium on Computer and Communications Security,,,,,
,IEEE Symposium on Security and Privacy,,,,,
,IEEE Transactions on Information Forensics and Security,,,,,
,USENIX Security Symposium,,,,,
,International Cryptology Conference (CRYPTO),,,,,
,Network and Distributed System Security Symposium (NDSS),,,,,
,International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),,,,,
,Computers & Security,,,,,
,IEEE Transactions on Dependable and Secure Computing,,,,,
,International Conference on Financial Cryptography and Data Security,,,,,
,International Conference on The Theory and Application of Cryptology and Information Security (ASIACRYPT),,,,,
,Workshop on Cryptographic Hardware and Embedded Systems (CHES),,,,,
,ACM on Asia Conference on Computer and Communications Security,,,,,
,Theory of Cryptography,,,,,
,Symposium On Usable Privacy and Security,,,,,
,IEEE Security & Privacy,,,,,
,International Conference on Practice and Theory in Public Key Cryptography,,,,,
,Journal of Cryptology,,,,,
,Fast Software Encryption (FSE),,,,,
,Security and Communication Networks,,,,,
7. Computer Vision & Pattern Recognition,"IEEE Conference on Computer Vision and Pattern Recognition, CVPR",,,,,
,IEEE International Conference on Computer Vision,,,,,
,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,,
,European Conference on Computer Vision,,,,,
,IEEE Transactions on Image Processing,,,,,
,Pattern Recognition,,,,,
,International Journal of Computer Vision,,,,,
,Medical Image Analysis,,,,,
,Pattern Recognition Letters,,,,,
,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,,,
,Computer Vision and Image Understanding,,,,,
,British Machine Vision Conference (BMVC),,,,,
,Journal of Visual Communication and Image Representation,,,,,
,IEEE International Conference on Image Processing (ICIP),,,,,
,Workshop on Applications of Computer Vision (WACV),,,,,
,IEEE International Conference on Automatic Face & Gesture Recognition,,,,,
,Image and Vision Computing,,,,,
,Machine Vision and Applications,,,,,
,International Conference on Document Analysis and Recognition,,,,,
,Journal of Mathematical Imaging and Vision,,,,,
8. Computing Systems,IEEE Transactions on Parallel and Distributed Systems,,,,,
,Future Generation Computer Systems,,,,,
,USENIX Conference on Networked Systems Design and Implementation,,,,,
,International Symposium on Computer Architecture (ISCA),,,,,
,International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),,,,,
,IEEE International Symposium on High Performance Computer Architecture,,,,,
,IEEE Internet of Things Journal,,,,,
,IEEE Transactions on Cloud Computing,,,,,
,IEEE International Symposium on Parallel & Distributed Processing,,,,,
,IEEE Transactions on Services Computing,,,,,
,USENIX Annual Technical Conference,,,,,
,ACM SIGMETRICS Performance Evaluation Review,,,,,
,"International Conference for High Performance Computing, Networking, Storage and Analysis",,,,,
,International Journal of Distributed Sensor Networks,,,,,
,The Journal of Supercomputing,,,,,
,ACM European Conference on Computer Systems,,,,,
,IEEE/ACM International Symposium on Microarchitecture,,,,,
,Conference on File and Storage Technologies (FAST),,,,,
,Journal of Parallel and Distributed Computing,,,,,
,Concurrency and Computation: Practice and Experience,,,,,
9. Data Mining & Analysis,ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,
,IEEE Transactions on Knowledge and Data Engineering,,,,,
,ACM International Conference on Web Search and Data Mining,,,,,
,International Conference on Artificial Intelligence and Statistics,,,,,
,ACM Transactions on Intelligent Systems and Technology (TIST),,,,,
,ACM Conference on Recommender Systems,,,,,
,Knowledge and Information Systems,,,,,
,International Conference on Data Mining,,,,,
,Data Mining and Knowledge Discovery,,,,,
,IEEE International Conference on Big Data,,,,,
,SIAM International Conference on Data Mining (SDM),,,,,
,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,,,,,
,European Conference on Machine Learning and Knowledge Discovery in Databases,,,,,
,Social Network Analysis and Mining,,,,,
,ACM Transactions on Knowledge Discovery from Data (TKDD),,,,,
,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),,,,,
,Journal of Big Data,,,,,
,Advances in Data Analysis and Classification,,,,,
,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",,,,,
,Statistical Analysis and Data Mining: The ASA Data Science Journal,,,,,
10.  Databases & Information Systems,IEEE Transactions on Knowledge and Data Engineering,,,,,
,International World Wide Web Conferences (WWW),,,,,
,International Conference on Very Large Databases,,,,,
,ACM SIGMOD International Conference on Management of Data,,,,,
,ACM International Conference on Web Search and Data Mining,,,,,
,International Conference on Web and Social Media (ICWSM),,,,,
,International Conference on Data Engineering,,,,,
,ACM SIGIR Conference on Research and Development in Information Retrieval,,,,,
,ACM International Conference on Information and Knowledge Management,,,,,
,ACM Transactions on Intelligent Systems and Technology (TIST),,,,,
,International Conference on the Semantic Web,,,,,
,Information Systems,,,,,
,ACM Conference on Recommender Systems,,,,,
,Information Processing & Management,,,,,
,Knowledge and Information Systems,,,,,
,Workshop of Cross-Language Evaluation Forum,,,,,
,IEEE International Conference on Big Data,,,,,
,Semantic Web,,,,,
,The VLDB Journal—The International Journal on Very Large Data Bases,,,,,
,"Web Semantics: Science, Services and Agents on the World Wide Web",,,,,
11. Computer Human Interaction (CHI),Computer Human Interaction (CHI),,,,,
,ACM Conference on Computer-Supported Cooperative Work & Social Computing,,,,,
,ACM Conference on Pervasive and Ubiquitous Computing (UbiComp),,,,,
,ACM Symposium on User Interface Software and Technology,,,,,
,IEEE Transactions on Affective Computing,,,,,
,International Journal of Human-Computer Studies,,,,,
,ACM Transactions on Computer-Human Interaction (TOCHI),,,,,
,ACM/IEEE International Conference on Human Robot Interaction,,,,,
,Behaviour & Information Technology,,,,,
,IEEE Transactions on Human-Machine Systems,,,,,
,International Conference on Multimodal Interfaces (ICMI),,,,,
,International Journal of Human-Computer Interaction,,,,,
,International Conference on Intelligent User Interfaces (IUI),,,,,
,IEEE Transactions on Haptics,,,,,
,HCI International,,,,,
,"International Conference on Tangible, Embedded, and Embodied Interaction",,,,,
,Conference on Designing Interactive Systems,,,,,
,Mobile HCI,,,,,
,Interaction Design and Children,,,,,
,Computer Supported Cooperative Work (CSCW),,,,,
12.  Information Theory,IEEE Transactions on Information Theory,,,,,
,IEEE International Symposium on Information Theory,,,,,
,"Allerton Conference on Communication, Control, and Computing",,,,,
,"Designs, Codes and Cryptography",,,,,
,Information Theory and Applications Workshop,,,,,
,Conference on Information Sciences and Systems,,,,,
,IEEE Information Theory Workshop,,,,,
,Physical Communication,,,,,
,"Data Compression Conference, DCC",,,,,
,Cryptography and Communications,,,,,
,Advances in Mathematics of Communications,,,,,
,Workshop on Smart Antennas,,,,,
,Problems of Information Transmission,,,,,
,Canadian Workshop on Information Theory,,,,,
,International Symposium on Turbo Codes and Iterative Information Processing,,,,,
,International Symposium on Information Theory and Its Applications,,,,,
,Iran Workshop on Communication and Information Theory,,,,,
,International Workshop on Signal Design and Its Applications in Communications,,,,,
13.  Robotics,IEEE International Conference on Robotics and Automation,,,,,
,IEEE/ASME Transactions on Mechatronics,,,,,
,The International Journal of Robotics Research,,,,,
,IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,
,IEEE Transactions on Robotics,,,,,
,Robotics and Autonomous Systems,,,,,
,Robotics: Science and Systems,,,,,
,Journal of Intelligent & Robotic Systems,,,,,
,Robotics and Computer-Integrated Manufacturing,,,,,
,Journal of Field Robotics,,,,,
,Mechatronics,,,,,
,ACM/IEEE International Conference on Human Robot Interaction,,,,,
,Bioinspiration & Biomimetics,,,,,
,Autonomous Robots,,,,,
,International Journal of Social Robotics,,,,,
,International Journal of Advanced Robotic Systems,,,,,
,IEEE Robotics & Automation Magazine,,,,,
,International Conference on Unmanned Aircraft Systems,,,,,
,"International Journal of Control, Automation and Systems",,,,,
,IEEE Transactions on Haptics,,,,,
14.  Signal Processing,IEEE Transactions on Image Processing,,,,,
,IEEE Transactions on Wireless Communications,,,,,
,IEEE Transactions on Signal Processing,,,,,
,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,,
,IEEE Signal Processing Magazine,,,,,
,IEEE Journal of Selected Topics in Signal Processing,,,,,
,IEEE Transactions on Circuits and Systems for Video Technology,,,,,
,IEEE Signal Processing Letters,,,,,
,Conference of the International Speech Communication Association (INTERSPEECH),,,,,
,Signal Processing,,,,,
,"IEEE Vehicular Technology Conference, VTC",,,,,
,"IEEE/ACM Transactions on Audio, Speech and Language Processing (TASLP)",,,,,
,SIAM Journal on Imaging Sciences,,,,,
,Journal of Visual Communication and Image Representation,,,,,
,"IEEE Transactions on Audio, Speech, and Language Processing",,,,,
,IEEE Wireless Communications Letters,,,,,
,IEEE International Conference on Image Processing (ICIP),,,,,
,Applied and Computational Harmonic Analysis,,,,,
,Digital Signal Processing,,,,,
,Signal Processing: Image Communication,,,,,
15.  Software Systems,ACM/IEEE International Conference on Software Engineering,,,,,
,IEEE Transactions on Software Engineering,,,,,
,Journal of Systems and Software,,,,,
,ACM SIGSOFT International Symposium on Foundations of Software Engineering,,,,,
,ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),,,,,
,Information and Software Technology,,,,,
,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages (POPL),,,,,
,Mining Software Repositories,,,,,
,Empirical Software Engineering,,,,,
,IEEE Software,,,,,
,International Conference on Tools and Algorithms for the Construction and Analysis of Systems (TACAS),,,,,
,IEEE/ACM International Conference on Automated Software Engineering (ASE),,,,,
,Software & Systems Modeling,,,,,
,International Symposium on Software Testing and Analysis,,,,,
,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications (OOPSLA)",,,,,
,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPOPP),,,,,
,Science of Computer Programming,,,,,
,ACM Transactions on Software Engineering and Methodology (TOSEM),,,,,
,IEEE International Conference on Software Maintenance,,,,,
,International Conference on Functional Programming (ICFP),,,,,
16.  Theoretical Computer Science,ACM Symposium on Theory of Computing,,,,,
,IEEE Symposium on Foundations of Computer Science (FOCS),,,,,
,ACM SIAM Symposium on Discrete Algorithms,,,,,
,Journal of the ACM (JACM),,,,,
,SIAM Journal on Computing,,,,,
,Theoretical Computer Science,,,,,
,Journal of Computer and System Sciences,,,,,
,Algorithmica,,,,,
,"International Colloquium on Automata, Languages and Programming (ICALP)",,,,,
,Conference on Innovations in Theoretical Computer Science,,,,,
,Information and Computation,,,,,
,ACM Transactions on Algorithms (TALG),,,,,
,Logical Methods in Computer Science (LMCS),,,,,
,Random Structures & Algorithms,,,,,
,Journal of Automated Reasoning,,,,,
,Journal of Logic and Computation,,,,,
,European Symposium on Algorithms,,,,,
,Information Processing Letters,,,,,
,Symposium on Theoretical Aspects of Computer Science (STACS),,,,,
,Theory and Applications of Satisfiability Testing,,,,,
